department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Chinese,CHINESE,1A,Fundamental Mandarin Chinese,5,,"Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with no previous experience in any dialect of Chinese. Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters.",Placement into CHINESE 1A is also accepted.,CHINESE 1A and CHINESE 1DA and CHINESE 1MA and CHINESE S1AB may not be taken for full credit.,,"CHINESE S1AB, CHINESE 1MA, CHINESE 1DA.",,,,,
Chinese,CHINESE,1B,Fundamental Mandarin Chinese,5,,"Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with no previous experience in any dialect of Chinese. Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters.",CHINESE 1A. CHINESE 1A with a grade of C or better. Placement into CHINESE 1B is also accepted.,CHINESE 1B and CHINESE 1DB and CHINESE 1MB and CHINESE S1AB and CHINESE S1BC may not be taken for full credit.,,"CHINESE S1AB, CHINESE S1BC, CHINESE 1MB, CHINESE 1DB.",,,,,
Chinese,CHINESE,1C,Fundamental Mandarin Chinese,5,VI,"Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with no previous experience in any dialect of Chinese. Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters.",CHINESE 1B or CHINESE S1AB. CHINESE 1B with a grade of C or better. CHINESE S1AB with a grade of C or better. Placement into CHINESE 1C is also accepted.,CHINESE 1C and CHINESE 1DC and CHINESE 1MC and CHINESE S1BC may not be taken for full credit.,,"CHINESE 1DC, CHINESE 1MC, CHINESE S1BC.",,,,,
Chinese,CHINESE,1MA,Fundamentals of Mandarin Chinese - Mandarin Background Track,5,,"Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with previous background in Mandarin Chinese.  Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters.",Placement into CHINESE 1MA.,CHINESE 1MA and CHINESE 1DA and CHINESE 1A and CHINESE S1AB may not be taken for full credit.,,"CHINESE 1DA, CHINESE 1A, CHINESE S1AB.",,,,,
Chinese,CHINESE,1MB,Fundamentals of Mandarin Chinese - Mandarin Background Track,5,,"Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with previous background in Mandarin Chinese. Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters.",CHINESE 1MA. CHINESE 1MA with a grade of C or better. Placement into CHINESE 1MB is also accepted.,CHINESE 1MB and CHINESE 1DB and CHINESE 1B and CHINESE S1AB and CHINESE S1BC may not be taken for full credit.,,"CHINESE 1B, CHINESE 1DB, CHINESE S1AB, CHINESE S1BC.",,,,,
Chinese,CHINESE,1MC,Fundamentals of Mandarin Chinese - Mandarin Background Track,5,VI,"Natural approach emphasizing four fundamental skills: listening, speaking, reading and writing. Specifically designed for students with previous background in Mandarin Chinese. Conducted in Mandarin Chinese using the Pinyin system of Romanization, traditional and simplified Chinese characters.",CHINESE 1MB. CHINESE 1MB with a grade of C or better. Placement into CHINESE 1MC is also accepted.,CHINESE 1MC and CHINESE 1DC and CHINESE 1C and CHINESE S1BC may not be taken for full credit.,,"CHINESE 1C, CHINESE 1DC, CHINESE S1BC.",,,,,
Chinese,CHINESE,S1AB,Fundamentals of Mandarin Chinese,7.5,,"First half of first-year Mandarin Chinese in an intensive setting using natural approach with emphasis on listening, speaking, reading, and writing.",Placement into CHINESE 1A or CHINESE 1B.,,,"CHINESE 1A, CHINESE 1B.",,,,,
Chinese,CHINESE,S1BC,Fundamentals of Mandarin Chinese,7.5,VI,"Second half of first-year Mandarin Chinese in an intensive setting using natural approach with emphasis on listening, speaking, reading, and writing.",CHINESE S1AB or CHINESE 1B. CHINESE S1AB with a grade of C or better. CHINESE 1B with a grade of C or better. Placement into CHINESE 1C or CHINESE 1DC or CHINESE 1MC is also accepted.,,,"CHINESE 1C, CHINESE 1B.",,,,,
Chinese,CHINESE,2A,Intermediate Mandarin Chinese,5,VIII,"Both authentic and pedagogically-prepared materials are used to further develop students' ability to communicate in culturally, socially, and linguistically appropriate manners. Taught in Chinese using Pinyin romanization system and both traditional and simplified forms of Chinese.",CHINESE 1C or CHINESE S1BC or CHINESE 1MC. CHINESE 1C with a grade of C or better. CHINESE S1BC with a grade of C or better. CHINESE 1MC with a grade of C or better. Placement into CHINESE 2A is also accepted.,,,"CHINESE 2DA, CHINESE 2MA.",,,,,
Chinese,CHINESE,2B,Intermediate Mandarin Chinese,5,VIII,"Both authentic and pedagogically-prepared materials are used to further develop students' ability to communicate in culturally, socially, and linguistically appropriate manners. Taught in Chinese using Pinyin romanization system and both traditional and simplified forms of Chinese.",CHINESE 2A. CHINESE 2A with a grade of C or better. Placement into CHINESE 2B is also accepted.,CHINESE 2B and CHINESE 2DB and CHINESE 2MB may not be taken for full credit.,,"CHINESE 2DB, CHINESE 2MB.",,,,,
