department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
Pathology and Laboratory Medicine,PATH,200A,Research in Experimental Pathology,2-12,,Independent research for the Ph.D. program within the laboratories of graduate training faculty in Experimental Pathology.,,,,,,,Unlimited as topics vary.,PATH 203A,
Pathology and Laboratory Medicine,PATH,200B,Research in Experimental Pathology,2-12,,Independent research for the Ph.D. program within the laboratories of graduate training faculty in Experimental Pathology.,,,,,,,Unlimited as topics vary.,PATH 203B,
Pathology and Laboratory Medicine,PATH,200C,Research in Experimental Pathology,2-12,,Independent research for the Ph.D. program within the laboratories of graduate training faculty in Experimental Pathology.,,,,,,,Unlimited as topics vary.,PATH 203C,
Pathology and Laboratory Medicine,PATH,200R,Research in Experimental Pathology for First-Year Students,2-12,,Independent research within the laboratories of graduate training faculty in Experimental Pathology for first-year Ph.D. students.,,,,,,Satisfactory/unsatisfactory only.,May be taken for credit 3 times.,,
Pathology and Laboratory Medicine,PATH,203A,Advanced Studies in Experimental Pathology,1,,A tutorial course for Ph.D. students in Experimental Pathology entailing attendance at Departmental seminars and critical reading of the scientific literature.,,,,,,,May be repeated for credit unlimited times.,PATH 200A,
Pathology and Laboratory Medicine,PATH,203B,Advanced Studies in Experimental Pathology,1,,A tutorial course for Ph.D. students in Experimental Pathology entailing attendance at Departmental seminars and critical reading of the scientific literature.,,,,,,,May be repeated for credit unlimited times.,PATH 200B,
Pathology and Laboratory Medicine,PATH,203C,Advanced Studies in Experimental Pathology,1,,A tutorial course for Ph.D. students in Experimental Pathology entailing attendance at Departmental seminars and critical reading of the scientific literature.,,,,,,,May be repeated for credit unlimited times.,PATH 200C,
Pathology and Laboratory Medicine,PATH,204A,Experimental Pathology Research Seminar,1,,"Seminar series for graduate students in Experimental Pathology. Students attend seminars and, beginning in their third year of graduate study, present one formal seminar on their graduate research.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Pathology and Laboratory Medicine,PATH,204B,Experimental Pathology Research Seminar,1,,"Seminar series for graduate students in Experimental Pathology. Students attend seminars and, beginning in their third year of graduate study, present one formal seminar on their graduate research.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Pathology and Laboratory Medicine,PATH,204C,Experimental Pathology Research Seminar,1,,"Seminar series for graduate students in Experimental Pathology. Students attend seminars and, beginning in their third year of graduate study, present one formal seminar on their graduate research.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Pathology and Laboratory Medicine,PATH,221,Immunopathogenic Mechanisms of Disease,3,,"Examination of the mechanisms underlying disease states mediated by immune dysregulation. Topics include mechanisms of immune evasion by cancer, diseases mediated by cytokine dysregulation, role of the microbiome of the GI tract and other disease sites, and adoptive T-cell therapy.",MMG 215,Graduate students only.,MMG 221.,,,,,,
Pathology and Laboratory Medicine,PATH,225,Molecular Mechanisms of Human Disease,3,,"Provides an overview of the molecular mechanisms of human diseases, including neurologic, hematologic, neoplastic, and infectious diseases. Students gain an understanding of these mechanisms, as well as models of human diseases.",,,MMG 225.,,,,,,
Pathology and Laboratory Medicine,PATH,227,Experimental Pathology Journal Club,1,,"Graduate-level course, which is open to all years, will involve the reading and discussion of papers, preferably written by the invited seminar speaker. Discussions will cover advanced topics in experimental pathology as related to an understanding of human disease.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,PATH 204A and PATH 204B and PATH 204C,
Pathology and Laboratory Medicine,PATH,240,Neuropathology,3,,Covers genetic and molecular mechanisms of neurological diseases. A grounding in neuroanatomy and prior or simultaneous enrollment in Anatomy 210A or the equivalent is strongly recommended. Resident physicians and clinical fellows can audit the course.,,Graduate students only.,,,,,May be repeated for credit unlimited times.,,
Pathology and Laboratory Medicine,PATH,292A,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Pathology and Laboratory Medicine,PATH,292B,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Pathology and Laboratory Medicine,PATH,292C,Scientific Communication,2,,"Small group meetings for graduate students to practice scientific writing, debate, and presentation skills.",,,,,,Satisfactory/unsatisfactory only.,May be repeated for credit unlimited times.,,
Pathology and Laboratory Medicine,PATH,299,Dissertation in Experimental Pathology,1-12,,Provided for the preparation and completion of the dissertation required for the Ph.D. degree.,,,,,,,May be repeated for credit unlimited times.,,
