department,department code,number,title,unit,ge,description,prerequisite,restriction,same as,overlaps with,concurrent with,grading option,repeatability,corequisite,prerequisite or corequisite
International Studies,INTL ST,1,Introduction to Global Studies,4,III and VIII,"Ongoing historical processes that increase global integration, the social, economic, and political interdependence of different regions, cultures, and peoples. Topics include ancient empires, colonialism, nationalism, industrialization, modern imperialism and warfare, decolonization, global social movements, conflict, inequality, and global governance.",,International Studies Majors have first consideration for enrollment.,SOC SCI 4A.,,,,,,
International Studies,INTL ST,11,Global Cultures and Society,4,III and VIII,"Offers a general overview of the rise of global interdependence in political, economic, demographic, and cultural terms. Considers what drove people from relative isolation into intensified intercourse with one another, and investigates the consequences of this shift.",,Anthropology Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,ANTHRO 41A.,,,,,,
International Studies,INTL ST,12,Global Political Ideologies,4,III and VIII,"An overview of the major political ideologies shaping the current world order and global conflict. Topics include liberalism, democracy, nationalism, capitalism, communism, socialism, fascism, neoliberalism, clash of civilizations, sectarian violence, populist nationalism, and de-globalization.",,International Studies Majors have first consideration for enrollment.,"POL SCI 44B, SOC SCI 12.",,,,,,
International Studies,INTL ST,13,Global Economy,4,"III, VIII",Acquaints students with the fundamental patterns of the global economy. Emphasizes the historical roots and political implications of economic choices.,,International Studies Majors have first consideration for enrollment. Economics Majors have first consideration for enrollment. Quantitative Economics Majors have first consideration for enrollment. Business Economics Majors have first consideration for enrollment.,ECON 13.,,,,,,
International Studies,INTL ST,14,Introduction to International Relations,4,III and VIII,Analysis of political relations between and among nations with emphasis on explanations of conflict and cooperation. The role of ideologies and their relation to international problems are also examined.,,Political Science Majors have first consideration for enrollment. International Studies Majors have first consideration for enrollment.,POL SCI 41A.,,,,,,
International Studies,INTL ST,15,Global Political Economy,4,III and VIII,"The global economy as an integrated system. The rise of world trade, capitalism, national economies, market cycles, competing economic ideologies, development, globalization, transnational labor, multinational corporations, and the role of UN, World Bank, WTO, and the IMF in global governance.",,International Studies Majors have first consideration for enrollment. Social Science Majors have first consideration for enrollment.,SOC SCI 15.,,,,,,
International Studies,INTL ST,16,Human Rights and Global Governance,4,III and VIII,"Historical development of civil, political rights and the rise of human rights in international law. Explores role, and limitations, of the UN, ICJ, and ICC in global governance. Reconceptualizing democracy and political representation in a postnational 21st century.",,International Studies Majors have first consideration for enrollment. Social Science Majors have first consideration for enrollment.,"POL SCI 45A, SOC SCI 16.",,,,,,
International Studies,INTL ST,17,Global Environmental Issues,4,III and VIII,"Examines problems such as global climate change, growing human populations, fisheries depletion, ocean acidification, biodiversity loss, deforestation, and food security. Introduces political, social, and economic factors contributing to environmental issues and their disproportional impacts on the world's poor and minorities.",,International Studies Majors have first consideration for enrollment. Social Science Majors have first consideration for enrollment.,SOC SCI 17.,,,,,,
International Studies,INTL ST,100,Global Trials,4,,"Explores landmark legal trials that have impacted both domestic and world affairs.The trials provide a lens through which to explore society at the time, as well as shed light on the historical legacies of current social, political, and legal values.",,International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment.,,,,,,,
International Studies,INTL ST,101A,Global Social Movements,4,,"The evolution of global social movements over past 250 years. Age of Revolutions in America, France, and Haiti; nationalism and labor; 1960s global decolonization; 21st century Latin American indigenous movements; Occupy Wall Street, Arab Spring, and social media's #metoo, #BlackLivesMatter.",,International Studies Majors have first consideration for enrollment. International Studies Minors have first consideration for enrollment.,,,,,,,
